ID,NPL_score,SMILES_no_chiral,SMILES_chiral
CHEMBL1558195,-2.348,CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1,CCOc1ccc(NC(=O)c2cccc(-n3cccc3)c2)cc1S(=O)(=O)N1CCOCC1
CHEMBL1536569,-0.275,CC1(C)CC(N=c2cc(-c3ccccc3)oc3ccc(Cl)cc23)CC(C)(C)N1,CC1(C)CC(N=c2cc(-c3ccccc3)oc3ccc(Cl)cc23)CC(C)(C)N1
CHEMBL1303509,-1.535,O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1,O=C(O)c1ccccc1-c1ccc(C=c2sc3nc4cc(Br)cnc4n3c2=O)o1
CHEMBL589775,-0.572,COc1ccc2c(c1)[nH]c1c(C)c(OS(=O)(=O)c3cccc4c(N(C)C)cccc34)ccc12,COc1ccc2c(c1)[nH]c1c(C)c(OS(=O)(=O)c3cccc4c(N(C)C)cccc34)ccc12
CHEMBL1508582,-1.307,CCN(CC)CCCN=c1[nH]c2cc(OC)c(OC)cc2c2nc(-c3cccnc3)nn12,CCN(CC)CCCN=c1[nH]c2cc(OC)c(OC)cc2c2nc(-c3cccnc3)nn12
CHEMBL1347385,-1.23,O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(Sc2cccc3ccccc23)o1,O=C1NN(c2ccccc2)C(=O)/C1=C/c1ccc(Sc2cccc3ccccc23)o1
CHEMBL1464200,-0.919,Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O,Nc1cc(S(=O)(=O)O)cc([N+](=O)[O-])c1O
CHEMBL1890961,0.326,O=C1C=C(N2CC2)c2ccccc2C1=O,O=C1C=C(N2CC2)c2ccccc2C1=O
CHEMBL1539325,-0.295,CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1
CHEMBL1462469,-2.032,COc1ccc(-c2csc(=NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)[nH]2)cc1,COc1ccc(-c2csc(=NC(=O)CSc3nc(C)nc4sc(C(=O)O)c(C)c34)[nH]2)cc1
CHEMBL1522300,-1.125,COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1,COc1ccc(N2Cc3cccc(C(=O)N4CCN(C(=O)c5ccco5)CC4)c3C2=O)cc1
CHEMBL1780244,-0.111,O=C(O)C(c1c[nH]c2ccccc12)N1C(=O)C=CC1=O,O=C(O)C(c1c[nH]c2ccccc12)N1C(=O)C=CC1=O
CHEMBL549412,0.563,NC(CCSCC1OC(n2cnc3c(=Nc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=Nc4ccccc4)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL1231795,-0.939,COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1
CHEMBL4173668,-0.402,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCCCC3)[nH]c2cc1OCCCN1CCCC1
CHEMBL3427578,-1.093,COC(=O)C(Cc1ccc(-n2nnc(-c3ccncc3)n2)cc1)N1C(=O)C=CC1=O,COC(=O)C(Cc1ccc(-n2nnc(-c3ccncc3)n2)cc1)N1C(=O)C=CC1=O
CHEMBL561047,0.795,N=c1[nH]ccc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,N=c1[nH]ccc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O
CHEMBL558406,0.403,CSc1nc(=N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2[nH]1,CSc1nc(=N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2[nH]1
CHEMBL556265,0.552,NC(CCSCC1OC(n2cnc3c(=NCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=NCc4ccccc4)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL2385829,-0.951,C[n+]1ccc(Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccc(N)cc45)cc3)c2)cc1,C[n+]1ccc(Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccc(N)cc45)cc3)c2)cc1
CHEMBL1916674,-0.43,CN(C)CC1CC(Cc2ccc(N)cc2)=NO1,CN(C)CC1CC(Cc2ccc(N)cc2)=NO1
