ID,SMILES_chiral,SMILES_no_chiral,NPL_score
UNPD_subset_A_8397,CSCS[S@+]([O-])CSC,CSCS[S+]([O-])CSC,-0.113
UNPD_subset_A_8398,CC[C@@H](C)SSSC,CCC(C)SSSC,1.179
UNPD_subset_A_8399,CC(C)CN,CC(C)CN,0.255
UNPD_subset_A_8400,CCCCCCCCCCCCCCCCC(C)C,CCCCCCCCCCCCCCCCC(C)C,0.351
UNPD_subset_A_8401,C=C[C@H]1C[C@@H]1/C=C/C=C/CC,C=CC1CC1C=CC=CCC,2.539
UNPD_subset_A_8402,CCCC=CCCCCCCCCCCCCCCC,CCCC=CCCCCCCCCCCCCCCC,0.736
UNPD_subset_A_8403,CCCCCC/C=C\CCCCCCCCCCC,CCCCCCC=CCCCCCCCCCCC,0.679
UNPD_subset_A_8404,CCCCCCCCC[C@H](C)CCCCCC,CCCCCCCCCC(C)CCCCCC,0.574
UNPD_subset_A_8405,CCCCCCCCCCCCCCCCCCCC(C)(C)C,CCCCCCCCCCCCCCCCCCCC(C)(C)C,0.103
UNPD_subset_A_8406,C=CCC/C=C/CCCCCCC,C=CCCC=CCCCCCCC,1.548
UNPD_subset_A_8407,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)C,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)C,0.196
UNPD_subset_A_8408,CCCCCCCCCCCCCCC[C@H]1CCC[C@@H](C)N1,CCCCCCCCCCCCCCCC1CCCC(C)N1,0.777
UNPD_subset_A_8409,CC#CC#CC#CC#CC#C[C@H](COC)OC,CC#CC#CC#CC#CC#CC(COC)OC,1.333
UNPD_subset_A_8410,CC/C=C/CCCCCCCCCCCCC,CCC=CCCCCCCCCCCCCC,1.044
UNPD_subset_A_8411,CCC[C@H](C)[C@H](C)CC,CCCC(C)C(C)CC,0.612
UNPD_subset_A_8412,CCCC/C=C\C=C/C=C\CCCCCCCCCCCCCCCCCCCC,CCCCC=CC=CC=CCCCCCCCCCCCCCCCCCCCC,0.73
UNPD_subset_A_8413,COC[C@H](OC)[C@H](OC)[C@H](OC)[C@H](COC)OC,COCC(OC)C(OC)C(OC)C(COC)OC,0.414
UNPD_subset_A_8414,CCCCCCCCCCCCCCCCCCCCCCCCCCC[C@H](C)CC,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)CC,0.359
UNPD_subset_A_8415,CCC(C)C,CCC(C)C,0.034
UNPD_subset_A_8416,CCCCCCCCC=C=CCCCCCCCCCCCCCCCCCCCC,CCCCCCCCC=C=CCCCCCCCCCCCCCCCCCCCC,0.441
UNPD_subset_A_8417,CCCCCCCCCCCCCC#N,CCCCCCCCCCCCCC#N,-0.015
UNPD_subset_A_8418,CC[Si](Cl)(Cl)CC,CC[Si](Cl)(Cl)CC,-0.176
UNPD_subset_A_8419,C=C[C@@](C)(/C=C/[C@H](C)CC[C@@H](C)[C@@H](C)CC[C@@H](C)C(C)C)CC[C@H](C)[C@H](C)CC[C@H](C)C(C)C,C=CC(C)(C=CC(C)CCC(C)C(C)CCC(C)C(C)C)CCC(C)C(C)CCC(C)C(C)C,1.018
UNPD_subset_A_8420,C=C/C=C/CCCCC,C=CC=CCCCCC,2.431
UNPD_subset_A_8421,CNCC(C)C,CNCC(C)C,0.488
UNPD_subset_A_8422,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)O[C@H]1CC[C@H]1O[C@]1(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,CC(C)CCCC(C)CCCC(C)CCCC1(C)OC1CCC1OC1(C)CCCC(C)CCCC(C)CCCC(C)C,0.862
UNPD_subset_A_8423,CCCSS[C@@H](CC)[S@@+](C)[O-],CCCSSC(CC)[S+](C)[O-],0.495
