ID,SMILES_chiral,SMILES_no_chiral,NPL_score
REAL_subset_2794,CC(=O)NC1(C(=O)NCC2N(C(=O)C(C#N)C3CC3)CCCC2(C)C)CCC1,CC(=O)NC1(C(=O)NCC2N(C(=O)C(C#N)C3CC3)CCCC2(C)C)CCC1,-0.391
REAL_subset_2795,CC(=O)NC1(C(=O)N[C@@H]2CN(C(=O)C3(C#N)CC4CC4C3)C[C@@H]2F)CCCC1,CC(=O)NC1(C(=O)NC2CN(C(=O)C3(C#N)CC4CC4C3)CC2F)CCCC1,-0.62
REAL_subset_2796,CC(=O)NC1(CC(=O)N2CC(F)(F)C[C@H]2CNC(=O)C2COCCO2)CC1,CC(=O)NC1(CC(=O)N2CC(F)(F)CC2CNC(=O)C2COCCO2)CC1,-0.699
REAL_subset_2797,CC(=O)NC1(CC(=O)N2CCN(C(=O)CC3CCCN(C)C3)C(CO)C2)CC1,CC(=O)NC1(CC(=O)N2CCN(C(=O)CC3CCCN(C)C3)C(CO)C2)CC1,-0.587
REAL_subset_2798,CC(=O)NC1(CC(=O)N2C[C@@H]3C[C@H]2[C@H](N(C)C(=O)C2CCOC2)C3)CC1,CC(=O)NC1(CC(=O)N2CC3CC(N(C)C(=O)C4CCOC4)C2C3)CC1,-0.298
REAL_subset_2799,CC(=O)NCC(=O)N1CC(NC(=O)C2CCCN2CC(F)(F)F)C(C)(C)C1,CC(=O)NCC(=O)N1CC(NC(=O)C2CCCN2CC(F)(F)F)C(C)(C)C1,-0.975
REAL_subset_2800,CC(=O)NCC(=O)N1CCN(C(=O)CC2(C)CCCO2)C(CC(F)(F)F)C1,CC(=O)NCC(=O)N1CCN(C(=O)CC2(C)CCCO2)C(CC(F)(F)F)C1,-0.717
REAL_subset_2801,N#Cc1cncc(CN2CCN(C(=O)C(N)Cc3c[nH]c4ccccc34)CC2)c1,N#Cc1cncc(CN2CCN(C(=O)C(N)Cc3c[nH]c4ccccc34)CC2)c1,-1.135
REAL_subset_2802,C[C@H]1CC(NC23COC(C(F)(F)F)(C2)C3)CC(C)(C)C1,CC1CC(NC23COC(C(F)(F)F)(C2)C3)CC(C)(C)C1,0.072
REAL_subset_2803,Clc1c(-c2cn[nH]c2)ccc2[nH]cnc12,Clc1c(-c2cn[nH]c2)ccc2[nH]cnc12,-1.139
REAL_subset_2804,Clc1cc(Cn2nc(-c3cc[nH]n3)nc2-c2c[nH]cn2)c(Cl)s1,Clc1cc(Cn2nc(-c3cc[nH]n3)nc2-c2c[nH]cn2)c(Cl)s1,-1.754
REAL_subset_2805,Clc1ccc(-c2cn(Cc3ccn(-c4ccccc4Cl)n3)nn2)nc1,Clc1ccc(-c2cn(Cc3ccn(-c4ccccc4Cl)n3)nn2)nc1,-2.448
REAL_subset_2806,Clc1ccc(-c2csc(-n3cncn3)n2)s1,Clc1ccc(-c2csc(-n3cncn3)n2)s1,-3.064
REAL_subset_2807,Clc1ccccc1Cn1cc(OCc2nncs2)cn1,Clc1ccccc1Cn1cc(OCc2nncs2)cn1,-2.491
REAL_subset_2808,Clc1ccnc(CCn2cc(Cn3cnc(-c4ccccc4)c3)nn2)c1,Clc1ccnc(CCn2cc(Cn3cnc(-c4ccccc4)c3)nn2)c1,-1.739
REAL_subset_2809,Clc1ccc2c(-c3ncc[nH]3)cnn2c1,Clc1ccc2c(-c3ncc[nH]3)cnn2c1,-1.87
REAL_subset_2810,Clc1cscc1-c1ccc2[nH]cnc2c1,Clc1cscc1-c1ccc2[nH]cnc2c1,-1.291
